time,lat,lon,disc
2021-07-26T16:20:32.0,33.08340349220521,-117.06186167909536,SIDEWINDER-1
2021-07-26T16:20:32.0,33.08390745224724,-117.0617576107266,SIDEWINDER-1
2021-07-26T16:21:05.0,33.084209407413724,-117.06172355577317,BUZZZ-1
2021-07-26T16:22:58.0,33.084945543147136,-117.06132186901176,BUZZZ-1
2021-07-26T16:23:18.0,33.08487292031711,-117.06147948529106,JUDGE-1
2021-07-26T16:23:40.0,33.084828723583044,-117.0615566263445,JUDGE-1
2021-07-26T16:23:57.0,33.08481668907597,-117.06158419986482,JUDGE-1
2021-07-26T16:24:39.0,33.08465984515567,-117.06198870606224,BUZZZ-1
2021-07-26T16:27:21.0,33.08402381242642,-117.0622653360568,JUDGE-1
2021-07-26T16:27:50.0,33.083893680104865,-117.06224038860186,JUDGE-1
2021-07-26T16:28:00.0,33.08392381030745,-117.06223141883795,JUDGE-1
2021-07-26T16:28:27.0,33.08376647015255,-117.0622634554696,BUZZZ-1
2021-07-26T16:31:07.0,33.082765994791885,-117.06206832361107,JUDGE-1
2021-07-26T16:31:13.0,33.08278570602426,-117.06202974532263,JUDGE-1
2021-07-26T16:31:43.0,33.08286652358918,-117.06184989403951,JUDGE-1
2021-07-26T16:31:52.0,33.08287796148395,-117.0618284645823,JUDGE-1
2021-07-26T16:33:15.0,33.082412623674806,-117.06137600028563,SIDEWINDER-1
2021-07-26T16:35:08.0,33.081944770300275,-117.06144833609287,BUZZZ-1
2021-07-26T16:35:50.0,33.08159885524858,-117.0613897840169,JUDGE-1
2021-07-26T16:36:22.0,33.081476303296654,-117.06118276881675,JUDGE-1
2021-07-26T16:36:47.0,33.08151610984383,-117.0612576812745,JUDGE-1
2021-07-26T16:36:54.0,33.081527865544246,-117.06126998498394,JUDGE-1
2021-07-26T16:37:45.0,33.08178123797427,-117.0615509994607,BUZZZ-1
2021-07-26T16:40:25.0,33.08122512286414,-117.06182164763958,JUDGE-1
2021-07-26T16:40:53.0,33.08106251085125,-117.06180409324274,JUDGE-1
2021-07-26T16:40:56.0,33.081060101165775,-117.06181030808318,JUDGE-1
2021-07-26T16:42:58.0,33.08125135596514,-117.06212542304101,BUZZZ-1
2021-07-26T16:44:33.0,33.08061284686792,-117.06253657885884,JUDGE-1
2021-07-26T16:45:07.0,33.080510858610715,-117.06251793442024,JUDGE-1
2021-07-26T16:46:23.0,33.08055756010614,-117.06221474745489,BUZZZ-1
2021-07-26T16:48:10.0,33.08015377549619,-117.06233381372557,BUZZZ-1
2021-07-26T16:49:13.0,33.07993911718911,-117.0625305809109,JUDGE-1
2021-07-26T16:49:27.0,33.07988183678027,-117.06251739290637,JUDGE-1
2021-07-26T16:49:30.0,33.07987117892692,-117.06251590323458,JUDGE-1
2021-07-26T16:49:37.0,33.07985791164709,-117.0625225535382,JUDGE-1
2021-07-26T16:51:19.0,33.079596272194884,-117.06242789673178,BUZZZ-1
2021-07-26T16:57:03.0,33.07954204527398,-117.06142839922049,JUDGE-1
